job_id,date,machine_id,model_name,material,layer_height_mm,duration_min,filament_g,cost_fen,status,fail_reason,energy_kwh
FARM-0268,2026-07-05,FX-256-01,传感器支架,PETG,0.2,25,8.9,90,fail,悬垂塌陷,0.1
FARM-0269,2026-07-14,FX-256-01,涡轮叶轮,PLA,0.2,30,12.8,102,success,,0.12
FARM-0270,2026-07-02,FX-Δ260-01,传感器支架,PLA,0.28,15,12,89,success,,0.06
FARM-0271,2026-07-14,FX-256-03,行星齿轮,PETG,0.2,31,10.5,107,success,,0.12
FARM-0272,2026-07-19,FX-500-01,涡轮叶轮,PLA,0.2,28,12.8,101,success,,0.11
FARM-0273,2026-07-03,FX-256-03,行星齿轮,PLA,0.12,38,9.9,85,success,,0.15
FARM-0274,2026-07-02,FX-256-01,传感器支架,TPU,0.2,55,11.2,202,success,,0.22
FARM-0275,2026-07-17,FX-Δ260-01,涡轮叶轮,PETG,0.28,29,13.7,135,success,,0.12
FARM-0276,2026-06-29,FX-256-03,行星齿轮,PLA,0.2,23,10.3,81,success,,0.09
FARM-0277,2026-07-14,FX-256-01,传感器支架,ABS,0.12,44,9.3,97,success,,0.25
FARM-0278,2026-07-05,FX-256-03,行星齿轮,PETG,0.12,47,10.2,112,success,,0.19
FARM-0279,2026-07-19,FX-256-04,涡轮叶轮,PLA,0.2,28,12.8,101,success,,0.11
FARM-0280,2026-06-29,FX-256-02,行星齿轮,PETG,0.28,24,10.9,108,success,,0.1
FARM-0281,2026-07-07,FX-256-04,传感器支架,ABS,0.12,4,0,2,fail,热失控,0.02
FARM-0282,2026-07-10,FX-256-01,涡轮叶轮,PLA,0.2,31,12.8,102,success,,0.12
FARM-0283,2026-07-05,FX-Δ260-01,传感器支架,TPU,0.12,87,10.7,209,success,,0.35
FARM-0284,2026-07-15,FX-220-02,行星齿轮,PETG,0.28,2,0,1,fail,堵料,0.01
FARM-0285,2026-07-19,FX-256-04,传感器支架,ABS,0.2,28,9.7,92,success,,0.16
FARM-0286,2026-07-19,FX-256-03,传感器支架,PETG,0.2,1,0.1,1,fail,堵料,0
FARM-0287,2026-07-15,FX-256-01,涡轮叶轮,PLA,0.12,45,12.3,105,success,,0.18
FARM-0288,2026-07-10,FX-Δ260-01,行星齿轮,TPU,0.28,42,10.4,184,success,,0.17
FARM-0289,2026-07-07,FX-220-01,传感器支架,PLA,0.2,22,11.5,89,success,,0.09
FARM-0290,2026-07-04,FX-256-01,传感器支架,PLA,0.2,2,0.5,4,fail,堵料,0.01
FARM-0291,2026-07-03,FX-256-01,行星齿轮,PLA,0.2,23,10.3,81,success,,0.09
FARM-0292,2026-07-18,FX-500-01,传感器支架,TPU,0.12,86,10.7,208,success,,0.34
FARM-0293,2026-07-15,FX-256-04,涡轮叶轮,TPU,0.28,8,0.9,18,fail,断料,0.03
FARM-0294,2026-07-01,FX-256-02,涡轮叶轮,PLA,0.28,23,13.4,102,success,,0.09
FARM-0295,2026-07-14,FX-256-02,涡轮叶轮,TPU,0.2,72,12.5,231,success,,0.29
FARM-0296,2026-07-17,FX-220-01,涡轮叶轮,PETG,0.2,38,13.2,134,success,,0.15
FARM-0297,2026-07-10,FX-220-01,涡轮叶轮,PETG,0.2,37,13.2,134,success,,0.15
FARM-0298,2026-07-04,FX-256-04,行星齿轮,TPU,0.28,5,0.8,15,fail,断料,0.02
FARM-0299,2026-07-10,FX-256-03,行星齿轮,TPU,0.12,91,9.7,194,success,,0.36
FARM-0300,2026-07-02,FX-220-01,涡轮叶轮,PLA,0.12,47,12.3,106,success,,0.19
FARM-0301,2026-07-17,FX-500-01,涡轮叶轮,PLA,0.28,22,13.4,102,success,,0.09
FARM-0302,2026-07-12,FX-500-01,传感器支架,PETG,0.2,29,11.8,118,success,,0.12
FARM-0303,2026-07-12,FX-256-02,行星齿轮,PETG,0.2,31,10.5,107,success,,0.12
FARM-0304,2026-07-11,FX-256-04,传感器支架,PLA,0.12,34,11,91,success,,0.14
FARM-0305,2026-07-06,FX-500-01,行星齿轮,TPU,0.2,58,10,184,success,,0.23
FARM-0306,2026-07-07,FX-500-01,传感器支架,PETG,0.12,45,11.2,119,success,,0.18
FARM-0307,2026-07-04,FX-220-02,传感器支架,PETG,0.2,28,11.8,117,success,,0.11
FARM-0308,2026-06-29,FX-256-03,涡轮叶轮,PLA,0.2,29,12.8,101,success,,0.12
FARM-0309,2026-07-05,FX-220-02,传感器支架,PETG,0.2,1,0,0,fail,堵料,0
FARM-0310,2026-07-10,FX-256-04,涡轮叶轮,PLA,0.12,45,12.3,105,success,,0.18
FARM-0311,2026-07-05,FX-220-01,行星齿轮,ABS,0.2,29,8.7,84,fail,翘边,0.16
FARM-0312,2026-07-03,FX-220-02,行星齿轮,PLA,0.2,24,10.3,82,success,,0.1
FARM-0313,2026-06-29,FX-256-03,传感器支架,PETG,0.28,22,12.3,119,success,,0.09
FARM-0314,2026-07-10,FX-220-01,传感器支架,PLA,0.2,19,8.7,69,fail,悬垂塌陷,0.08
FARM-0315,2026-07-15,FX-220-02,传感器支架,PETG,0.2,29,11.8,118,success,,0.12
FARM-0316,2026-07-08,FX-256-02,涡轮叶轮,TPU,0.2,73,12.5,231,success,,0.29
FARM-0317,2026-07-15,FX-256-04,行星齿轮,PETG,0.2,33,10.5,108,success,,0.13
FARM-0318,2026-07-15,FX-256-03,行星齿轮,PLA,0.12,38,9.9,85,success,,0.15
FARM-0319,2026-07-12,FX-220-01,传感器支架,PETG,0.2,29,11.8,118,success,,0.12
FARM-0320,2026-07-19,FX-256-01,行星齿轮,PETG,0.2,30,10.5,107,success,,0.12
FARM-0321,2026-07-18,FX-256-01,行星齿轮,PETG,0.12,49,10.2,113,success,,0.2
FARM-0322,2026-06-29,FX-256-01,传感器支架,PETG,0.2,27,11.8,117,success,,0.11
FARM-0323,2026-07-13,FX-256-01,涡轮叶轮,ABS,0.2,35,10.9,105,success,,0.2
FARM-0324,2026-07-18,FX-Δ260-01,涡轮叶轮,PETG,0.2,31,13.2,131,success,,0.12
FARM-0325,2026-07-06,FX-256-04,传感器支架,TPU,0.28,6,0.6,12,fail,断料,0.02
FARM-0326,2026-06-29,FX-500-01,传感器支架,PLA,0.2,22,11.5,89,success,,0.09
FARM-0327,2026-07-02,FX-Δ260-01,行星齿轮,PETG,0.28,26,10.9,108,success,,0.1
FARM-0328,2026-07-03,FX-256-01,涡轮叶轮,PETG,0.2,30,13.2,131,success,,0.12
FARM-0329,2026-07-19,FX-256-02,行星齿轮,PETG,0.2,31,10.5,107,success,,0.12
FARM-0330,2026-07-09,FX-500-01,传感器支架,PETG,0.12,40,11.2,117,success,,0.16
FARM-0331,2026-07-15,FX-256-02,涡轮叶轮,PETG,0.2,37,13.2,134,success,,0.15
FARM-0332,2026-07-06,FX-256-02,传感器支架,PETG,0.2,27,11.8,117,success,,0.11
FARM-0333,2026-07-19,FX-256-01,传感器支架,PETG,0.12,43,11.2,118,success,,0.17
FARM-0334,2026-07-11,FX-220-02,涡轮叶轮,PLA,0.2,30,12.8,102,success,,0.12
FARM-0335,2026-06-30,FX-256-02,行星齿轮,PETG,0.28,21,10.9,106,success,,0.08
FARM-0336,2026-07-04,FX-Δ260-01,传感器支架,ABS,0.2,32,9.7,94,success,,0.18
FARM-0337,2026-07-09,FX-256-03,行星齿轮,PETG,0.2,30,10.5,107,success,,0.12
FARM-0338,2026-07-18,FX-256-03,涡轮叶轮,PETG,0.2,37,13.2,134,success,,0.15
FARM-0339,2026-07-03,FX-256-01,传感器支架,PLA,0.2,22,11.5,89,success,,0.09
FARM-0340,2026-07-10,FX-256-01,行星齿轮,PLA,0.28,2,0.9,7,fail,断料,0.01
FARM-0341,2026-07-16,FX-256-04,行星齿轮,PLA,0.12,37,9.9,85,success,,0.15
FARM-0342,2026-07-12,FX-256-03,涡轮叶轮,PLA,0.28,23,13.4,102,success,,0.09
FARM-0343,2026-07-17,FX-256-02,行星齿轮,TPU,0.2,58,10,184,success,,0.23
FARM-0344,2026-07-13,FX-256-02,涡轮叶轮,PLA,0.12,43,12.3,104,success,,0.17
FARM-0345,2026-07-15,FX-256-03,传感器支架,PLA,0.2,21,11.5,88,success,,0.08
FARM-0346,2026-07-19,FX-256-04,涡轮叶轮,PLA,0.2,28,12.8,101,success,,0.11
FARM-0347,2026-07-07,FX-500-01,传感器支架,PETG,0.2,18,11.8,113,success,,0.07
FARM-0348,2026-07-08,FX-256-04,传感器支架,ABS,0.28,4,0,2,fail,热失控,0.02
FARM-0349,2026-07-07,FX-500-01,传感器支架,ABS,0.28,21,10.2,92,fail,悬垂塌陷,0.12
FARM-0350,2026-07-05,FX-220-02,传感器支架,PLA,0.2,20,11.5,88,success,,0.08
FARM-0351,2026-07-10,FX-256-03,涡轮叶轮,PETG,0.2,38,13.2,134,success,,0.15
FARM-0352,2026-07-09,FX-256-03,涡轮叶轮,PLA,0.2,30,12.8,102,success,,0.12
FARM-0353,2026-07-05,FX-256-04,行星齿轮,PETG,0.2,34,10.5,109,success,,0.14
FARM-0354,2026-07-04,FX-220-02,涡轮叶轮,PETG,0.2,2,0,1,fail,堵料,0.01
FARM-0355,2026-07-01,FX-Δ260-01,行星齿轮,TPU,0.2,55,10,183,success,,0.22
FARM-0356,2026-07-19,FX-256-02,涡轮叶轮,PLA,0.2,29,12.8,101,success,,0.12
FARM-0357,2026-07-18,FX-220-02,涡轮叶轮,PETG,0.2,37,13.2,134,success,,0.15
FARM-0358,2026-07-07,FX-256-01,行星齿轮,PETG,0.2,30,10.5,107,success,,0.12
FARM-0359,2026-07-14,FX-220-02,传感器支架,PLA,0.2,22,11.5,89,success,,0.09
FARM-0360,2026-07-19,FX-500-01,传感器支架,PETG,0.2,21,11.8,114,success,,0.08
FARM-0361,2026-07-17,FX-256-04,行星齿轮,PETG,0.2,29,10.5,106,success,,0.12
FARM-0362,2026-06-29,FX-220-01,行星齿轮,ABS,0.2,28,8.7,84,fail,翘边,0.16
FARM-0363,2026-07-11,FX-256-03,行星齿轮,PLA,0.2,22,10.3,81,success,,0.09
FARM-0364,2026-06-29,FX-256-02,传感器支架,TPU,0.2,4,0.4,8,fail,堵料,0.02
FARM-0365,2026-07-09,FX-Δ260-01,行星齿轮,PLA,0.28,18,10.6,81,success,,0.07
FARM-0366,2026-07-01,FX-220-01,传感器支架,PETG,0.2,25,8.9,90,fail,悬垂塌陷,0.1
FARM-0367,2026-07-16,FX-256-03,传感器支架,PETG,0.28,19,9.4,92,fail,悬垂塌陷,0.08
FARM-0368,2026-07-02,FX-256-03,涡轮叶轮,PLA,0.12,47,12.3,106,success,,0.19
FARM-0369,2026-07-06,FX-256-02,传感器支架,ABS,0.2,28,9.7,92,success,,0.16
FARM-0370,2026-07-09,FX-256-03,行星齿轮,PETG,0.28,23,10.9,107,success,,0.09
FARM-0371,2026-07-17,FX-Δ260-01,涡轮叶轮,PLA,0.2,29,12.8,101,success,,0.12
FARM-0372,2026-07-12,FX-500-01,行星齿轮,PLA,0.12,37,9.9,85,success,,0.15
FARM-0373,2026-07-02,FX-Δ260-01,涡轮叶轮,TPU,0.12,83,12,227,success,,0.33
FARM-0374,2026-07-02,FX-220-02,行星齿轮,PETG,0.2,30,10.5,107,success,,0.12
FARM-0375,2026-07-01,FX-500-01,涡轮叶轮,PETG,0.28,29,13.7,135,success,,0.12
FARM-0376,2026-07-17,FX-Δ260-01,行星齿轮,PETG,0.28,24,10.9,108,success,,0.1
FARM-0377,2026-07-19,FX-220-01,传感器支架,PETG,0.12,43,11.2,118,success,,0.17
FARM-0378,2026-07-09,FX-220-01,行星齿轮,ABS,0.12,44,8.4,90,fail,翘边,0.25
FARM-0379,2026-07-05,FX-256-02,涡轮叶轮,TPU,0.12,88,12,229,success,,0.35
FARM-0380,2026-07-12,FX-500-01,传感器支架,PETG,0.2,28,11.8,117,success,,0.11
FARM-0381,2026-07-01,FX-Δ260-01,涡轮叶轮,PETG,0.2,37,13.2,134,success,,0.15
FARM-0382,2026-07-04,FX-256-03,行星齿轮,PETG,0.28,21,10.9,106,success,,0.08
FARM-0383,2026-07-16,FX-256-04,涡轮叶轮,ABS,0.2,4,0,2,fail,热失控,0.02
FARM-0384,2026-07-12,FX-256-03,行星齿轮,PETG,0.12,46,10.2,111,success,,0.18
FARM-0385,2026-07-16,FX-500-01,行星齿轮,TPU,0.28,44,10.4,185,success,,0.18
FARM-0386,2026-07-08,FX-256-02,传感器支架,ABS,0.2,15,7.4,67,fail,悬垂塌陷,0.09
FARM-0387,2026-07-07,FX-256-01,传感器支架,PLA,0.28,3,0.7,6,fail,断料,0.01
FARM-0388,2026-07-06,FX-256-03,行星齿轮,PLA,0.2,24,10.3,82,success,,0.1
FARM-0389,2026-07-13,FX-Δ260-01,行星齿轮,PLA,0.2,3,0.7,6,fail,堵料,0.01
FARM-0390,2026-07-16,FX-220-02,传感器支架,ABS,0.2,3,0.5,6,fail,堵料,0.02
FARM-0391,2026-07-05,FX-256-03,涡轮叶轮,TPU,0.12,110,12,239,success,,0.44
FARM-0392,2026-07-10,FX-256-04,涡轮叶轮,TPU,0.2,73,12.5,231,success,,0.29
FARM-0393,2026-07-19,FX-500-01,传感器支架,TPU,0.2,54,11.2,202,success,,0.22
FARM-0394,2026-07-10,FX-Δ260-01,涡轮叶轮,ABS,0.28,27,11.3,104,success,,0.15
FARM-0395,2026-07-03,FX-500-01,涡轮叶轮,PETG,0.28,29,13.7,135,success,,0.12
FARM-0396,2026-07-10,FX-256-02,行星齿轮,TPU,0.28,7,0.8,16,fail,堵料,0.03
FARM-0397,2026-07-15,FX-256-02,传感器支架,PETG,0.2,25,8.9,90,fail,悬垂塌陷,0.1
FARM-0398,2026-07-07,FX-Δ260-01,行星齿轮,ABS,0.2,27,8.7,83,success,,0.15
FARM-0399,2026-07-09,FX-256-03,涡轮叶轮,PETG,0.2,39,13.2,135,success,,0.16
FARM-0400,2026-07-11,FX-220-01,行星齿轮,TPU,0.2,58,10,184,success,,0.23
